trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9998866915745779}",25,0,-101.08881393948302,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9998716057015847}",30,12,-129.17888378366118,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 3}",1
3,False,"{'a': 0.5, 'e': 0.999854511443025}",25,0,-61.69984094958839,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9998351414635922}",20,0,-73.98367084257953,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9998131928548848}",25,0,-119.76979155494742,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9997883224052029}",25,4,-39.76190202844261,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9997601412413161}",25,0,-124.10280646074484,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9997282087590872}",25,0,-177.77812398246508,"{0: 13, 1: 6, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.999692025748917}",20,0,-126.4959306402337,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9996510266096373}",25,0,-144.94365049938392,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9996045705305571}",25,0,-78.77312631695828,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9995519315056496}",20,0,-89.08768080261885,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9994922870261553}",25,0,-125.72943692230206,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9994247052779027}",20,0,-32.59726783989867,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9993481306471724}",20,0,-39.76028269534356,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9992613673136314}",25,0,-186.4200841702973,"{0: 13, 1: 0, 2: 8, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9991630606804386}",20,0,-111.24338075400243,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9990516763597113}",20,0,-53.81958312810557,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9989254763957627}",20,0,-127.79237741173084,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9987824923684765}",20,0,-115.37787717036534,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9986204949744392}",35,0,-84.34631752972464,"{0: 26, 1: 1, 2: 5, 3: 3, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9984369596335543}",30,0,-168.12429919564323,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9982290276133726}",25,0,-41.68477018230407,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9979934621018126}",20,0,-99.61924482151831,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.997726598590902}",25,0,-49.69374220836058,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9974242888592503}",25,3,-34.4974016514548,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.9970818377588506}",20,11,-85.71532970126904,"{0: 4, 1: 1, 2: 1, 3: 2, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.9966939319223467}",20,0,-26.145336658270207,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9962545594100788}",30,0,-56.65457795856466,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9957569192123553}",25,0,-172.32747444770487,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9951933194121281}",30,0,-159.13698979663178,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9945550626978072}",20,0,-164.53263327150648,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9938323177972356}",30,0,-70.57739778869012,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9930139752847214}",20,0,-35.38802727005024,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.9920874860976459}",30,0,-140.6433476466744,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9910386809932821}",20,0,-22.455179396003647,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.9898515690880307}",20,0,-78.41861169682076,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
