trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,13,-62.86868003976577,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-166.13943262705766,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-85.21053722998315,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-63.23961885507939,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-137.83111122213734,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-68.43725809895427,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-95.24743151518217,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-107.88438070790438,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-102.57645197894665,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-104.3290247123869,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-32.0164346847471,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-109.64050445033722,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-132.73103057175723,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-75.38374645084018,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",35,0,-190.80444463106414,"{0: 19, 1: 6, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-116.9018211944115,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-51.73977690464509,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",30,0,-101.21580642353068,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-62.07217975131047,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-105.04897145965543,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-21.066578168160422,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-70.91550338151302,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-74.85803119413004,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",30,0,-55.78161346865161,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",35,0,-183.90522361665816,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-95.30297760276393,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,0,-37.644048935055274,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-274.9763521884194,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 6}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",25,0,-144.45968794208022,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-87.30803668386638,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",30,0,-87.18572770953298,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",30,0,-94.13904469470266,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,13,-50.567114641441336,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,0,-35.28032927725902,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,0,-163.3439302078747,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-122.3776398761665,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",35,3,-12.983340527552825,"{0: 26, 1: 1, 2: 5, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-41.781652096548086,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,0,-111.16043204655394,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-31.46954295891203,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",30,0,-116.20746974037502,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-67.27352355093076,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
