trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,8,-21.165998387596453,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-60.33300850210277,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,-125.84345007474045,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",30,5,-63.17508360035736,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,6,-34.89736378288771,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",30,0,-153.00698541141404,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-75.36782405691483,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.611117239532865}",20,0,-89.73642711554709,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",30,0,-36.4829217749145,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.598956006466161}",30,16,-40.9299552902952,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",30,15,-18.876438608389993,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",25,0,-3.568512329290667,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,0,-62.08493950878484,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",30,8,-24.17570039123642,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",35,5,-120.13260471227687,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",25,0,-71.08278596301285,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,0,-39.57395860633392,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",30,7,-4.597626908593104,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,0,-78.0202929803882,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",35,0,-127.78749834362803,"{0: 26, 1: 0, 2: 6, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,10,8.287444700018007,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,0,-32.52918249493832,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,0,-33.80181728015815,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,11,24.37593490972687,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",30,4,-116.52266267601622,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 3}",1
