trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-45.004851616633225,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,4,-128.72863620226173,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.7408182206817179}",35,0,-297.68355145676566,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,3,-93.68387519862077,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-51.902076033968264,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.5488116360940264}",30,0,-93.96835243152177,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.49658530379140947}",30,7,-106.57484026838985,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.44932896411722156}",30,0,-82.26046999241575,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,4,14.283658705791684,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,8,-41.49318452632578,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,10,-43.3068894113011,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.301194211912202}",25,0,-34.7723244983738,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,8,17.176282027939244,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,13,2.5864492855030172,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,4,8.944072259941514,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,0,-19.147922217595987,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1826835240527346}",20,0,31.936131061387734,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,12,21.73864342199354,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.14956861922263504}",30,15,15.52707232474646,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.1353352832366127}",25,15,3.2320130987959406,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.1224564282529819}",25,14,20.604965563053646,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
