trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,10,-52.56655490057071,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.8187307530779818}",25,0,-93.1659535050452,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,0,-127.14846185233,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,0,-126.21247290620958,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.6065306597126334}",25,0,-50.39942832286273,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.5488116360940264}",20,0,-122.66388300879318,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,0,-75.2401991943172,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.44932896411722156}",20,0,-5.5438802480941245,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.4065696597405991}",30,0,19.586266841093057,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.36787944117144233}",20,2,-169.78915308380965,"{0: 11, 1: 0, 2: 1, 3: 3, 4: 3}",1
11,False,"{'a': 0.01, 'e': 0.33287108369807955}",20,0,-35.82707173911737,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.301194211912202}",20,0,-22.084353611007465,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.2725317930340126}",20,0,-120.53050751514215,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.24659696394160643}",25,0,-33.881996446159064,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.22313016014842982}",35,7,-113.62532559569662,"{0: 19, 1: 0, 2: 7, 3: 0, 4: 2}",1
16,False,"{'a': 0.01, 'e': 0.20189651799465538}",30,0,-8.321710286502634,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.1826835240527346}",20,0,11.97291275520999,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.16529888822158653}",30,0,-31.13050348592161,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.14956861922263504}",20,0,15.792324157926108,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.1353352832366127}",20,0,15.762812683657142,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.1224564282529819}",25,9,24.881618202573556,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.11080315836233387}",20,6,23.936011229313007,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.1002588437228037}",20,0,8.461638532478645,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.09071795328941247}",35,15,1.9373459673349442,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
25,False,"{'a': 0.01, 'e': 0.0820849986238988}",30,0,7.0208438324288736,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.07427357821433388}",25,9,23.160590394660098,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.06720551273974976}",20,0,24.94373475332512,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.06081006262521795}",20,0,22.348728831049446,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.05502322005640721}",30,0,9.500466396106013,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
